video_num,image,infection,patient,class_label,image_path
1,246.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/246.tif
1,094.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/094.tif
1,158.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/158.tif
1,062.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/062.tif
1,174.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/174.tif
1,172.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/172.tif
1,222.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/222.tif
1,087.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/087.tif
1,005.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/005.tif
1,046.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/046.tif
1,145.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/145.tif
1,112.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/112.tif
1,022.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/022.tif
1,232.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/232.tif
1,091.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/091.tif
1,024.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/024.tif
1,123.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/123.tif
1,011.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/011.tif
1,234.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/234.tif
1,187.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/187.tif
1,035.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/035.tif
1,180.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/180.tif
1,186.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/186.tif
1,118.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/118.tif
1,098.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/098.tif
1,160.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/160.tif
1,114.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/114.tif
1,059.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/059.tif
1,064.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/064.tif
1,161.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/161.tif
1,102.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/102.tif
1,002.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/002.tif
1,226.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/226.tif
1,242.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/242.tif
1,043.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/043.tif
1,037.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/037.tif
1,132.tif,ca,1,0,/asbdata/Arjun/Bloodi/TIFF8/1/132.tif
